id,date,Players_names,final_score,Total_Score,S1,S2,player_1,player_2,group_name,standardized_match,Total,Total P1,Total P2,Fora_1,Fora_2,first_set_total,second_set_total,third_set_total,fourth_set_total,fifth_set_total,first_set_fora,second_set_fora,third_set_fora,fourth_set_fora,fifth_set_fora,modified_fora,swapped_Total_score
20827526,2024-08-14 15:25:00,Diaryan Aleksandr - Papyan Karen,3:0,11:4 - 11:4 - 11:1 - 0:0 - 0:0,3,0,Diaryan Aleksandr,Papyan Karen,fiurst,Diaryan Aleksandr - Papyan Karen,42,33,9,-24,24,15,15,12,0,0,-7,-7,-10,0,0,-24,11:4 - 11:4 - 11:1 - 0:0 - 0:0
20827524,2024-08-14 15:00:00,Asatryan Murad - Gevorgyan Hayk,3:0,11:4 - 11:9 - 11:5 - 0:0 - 0:0,3,0,Asatryan Murad,Gevorgyan Hayk,fiurst,Asatryan Murad - Gevorgyan Hayk,51,33,18,-15,15,15,20,16,0,0,-7,-2,-6,0,0,-15,11:4 - 11:9 - 11:5 - 0:0 - 0:0
20827523,2024-08-14 14:45:00,Nikoghosyan Narek - Diaryan Aleksandr,3:2,11:4 - 7:11 - 9:11 - 11:9 - 11:13,2,3,Nikoghosyan Narek,Diaryan Aleksandr,fiurst,Diaryan Aleksandr - Nikoghosyan Narek,97,48,49,1,-1,15,18,20,20,24,7,-4,-2,2,-2,1,4:11 - 11:7 - 11:9 - 9:11 - 13:11
20827511,2024-08-14 14:30:00,Papyan Karen - Asatryan Murad,3:0,4:11 - 9:11 - 9:11 - 0:0 - 0:0,0,3,Papyan Karen,Asatryan Murad,fiurst,Asatryan Murad - Papyan Karen,55,33,22,-11,11,15,20,20,0,0,-7,-2,-2,0,0,-11,11:4 - 11:9 - 11:9 - 0:0 - 0:0
20827508,2024-08-14 14:15:00,Nikoghosyan Narek - Gevorgyan Hayk,0:3,12:10 - 11:6 - 11:5 - 0:0 - 0:0,3,0,Nikoghosyan Narek,Gevorgyan Hayk,fiurst,Gevorgyan Hayk - Nikoghosyan Narek,55,21,34,13,-13,22,17,16,0,0,2,5,6,0,0,13,10:12 - 6:11 - 5:11 - 0:0 - 0:0
20827507,2024-08-14 14:00:00,Diaryan Aleksandr - Asatryan Murad,0:3,11:7 - 11:3 - 12:10 - 0:0 - 0:0,3,0,Diaryan Aleksandr,Asatryan Murad,fiurst,Asatryan Murad - Diaryan Aleksandr,54,20,34,14,-14,18,14,22,0,0,4,8,2,0,0,14,7:11 - 3:11 - 10:12 - 0:0 - 0:0
20827506,2024-08-14 13:50:00,Papyan Karen - Nikoghosyan Narek,0:3,11:7 - 11:8 - 11:9 - 0:0 - 0:0,3,0,Papyan Karen,Nikoghosyan Narek,fiurst,Nikoghosyan Narek - Papyan Karen,57,24,33,9,-9,18,19,20,0,0,4,3,2,0,0,9,7:11 - 8:11 - 9:11 - 0:0 - 0:0
20827504,2024-08-14 13:40:00,Gevorgyan Hayk - Diaryan Aleksandr,3:0,7:11 - 4:11 - 9:11 - 0:0 - 0:0,0,3,Gevorgyan Hayk,Diaryan Aleksandr,fiurst,Diaryan Aleksandr - Gevorgyan Hayk,53,33,20,-13,13,18,15,20,0,0,-4,-7,-2,0,0,-13,11:7 - 11:4 - 11:9 - 0:0 - 0:0
20827503,2024-08-14 13:15:00,Asatryan Murad - Nikoghosyan Narek,3:0,11:8 - 12:10 - 11:4 - 0:0 - 0:0,3,0,Asatryan Murad,Nikoghosyan Narek,fiurst,Asatryan Murad - Nikoghosyan Narek,56,34,22,-12,12,19,22,15,0,0,-3,-2,-7,0,0,-12,11:8 - 12:10 - 11:4 - 0:0 - 0:0
20827501,2024-08-14 13:00:00,Gevorgyan Hayk - Papyan Karen,2:3,11:8 - 14:12 - 12:14 - 9:11 - 10:12,2,3,Gevorgyan Hayk,Papyan Karen,fiurst,Gevorgyan Hayk - Papyan Karen,113,56,57,1,-1,19,26,26,20,22,-3,-2,2,2,2,1,11:8 - 14:12 - 12:14 - 9:11 - 10:12
20827492,2024-08-14 12:20:00,Diaryan Aleksandr - Nikoghosyan Narek,2:3,11:8 - 10:12 - 8:11 - 11:8 - 7:11,2,3,Diaryan Aleksandr,Nikoghosyan Narek,fiurst,Diaryan Aleksandr - Nikoghosyan Narek,97,47,50,3,-3,19,22,19,19,18,-3,2,3,-3,4,3,11:8 - 10:12 - 8:11 - 11:8 - 7:11
20827484,2024-08-14 12:00:00,Gevorgyan Hayk - Asatryan Murad,3:0,3:11 - 4:11 - 8:11 - 0:0 - 0:0,0,3,Gevorgyan Hayk,Asatryan Murad,fiurst,Asatryan Murad - Gevorgyan Hayk,48,33,15,-18,18,14,15,19,0,0,-8,-7,-3,0,0,-18,11:3 - 11:4 - 11:8 - 0:0 - 0:0
